Player;Shipname;Side;dmg total;hits;misses;failedEscapes;crits;heavy;hits;
Happylife;Biene 048;Verteidiger;1585;3;2;0;0;0;616;581;388;
Happylife;01;Verteidiger;1627;4;0;0;0;0;633;122;754;118;
Happylife;02;Verteidiger;2168;4;0;0;0;1;780;207;783;398;
Happylife;Biene 0109;Verteidiger;1682;2;0;0;0;1;1146;536;
Happylife;Biene 049;Verteidiger;438;1;2;0;0;0;438;
Happylife;03;Verteidiger;1002;3;1;0;0;0;132;801;69;
Happylife;Biene 0107;Verteidiger;1658;4;0;0;0;0;490;425;227;516;
Happylife;Biene 0105;Verteidiger;403;1;1;0;0;0;403;
Happylife;Biene 0104;Verteidiger;1289;3;0;0;0;0;521;247;521;
Happylife;Biene 040;Verteidiger;1441;3;0;0;0;0;541;248;652;
Happylife;Biene 042;Verteidiger;2012;2;1;0;0;1;1376;636;
Happylife;Biene 041;Verteidiger;1041;2;0;0;0;0;508;533;
Happylife;Biene 044;Verteidiger;1127;2;1;0;0;0;503;624;
Happylife;Biene 043;Verteidiger;714;2;1;0;0;0;211;503;
Happylife;Biene 046;Verteidiger;1097;2;0;0;0;0;584;513;
Happylife;Biene 1 014;Verteidiger;1199;3;0;0;0;0;470;211;518;
Happylife;Biene 1 015;Verteidiger;854;2;0;0;0;0;670;184;
Happylife;Hummel 010;Verteidiger;1417;4;2;0;0;0;561;166;531;159;
Happylife;Hummel 011;Verteidiger;1157;2;0;0;0;0;974;183;
Happylife;Biene 1 017;Verteidiger;526;1;1;0;0;0;526;
Happylife;Hummel 012;Verteidiger;2660;4;2;0;0;0;729;855;952;124;
Happylife;Biene 1 019;Verteidiger;1225;3;0;0;0;0;542;416;267;
Happylife;Biene 0103;Verteidiger;1233;3;1;0;0;0;473;486;274;
Happylife;Biene 0101;Verteidiger;1696;4;0;0;0;0;457;202;473;564;
Happylife;Biene 0100;Verteidiger;1121;3;0;0;0;0;672;225;224;
Happylife;Biene 1 010;Verteidiger;749;2;0;0;0;0;455;294;
Happylife;Biene 1 012;Verteidiger;412;1;1;0;0;0;412;
Happylife;Biene 037;Verteidiger;1840;4;0;0;0;0;307;501;471;561;
Happylife;Biene 036;Verteidiger;1385;1;0;0;0;1;1385;
Happylife;Biene 039;Verteidiger;393;1;2;0;0;0;393;
Happylife;Biene 038;Verteidiger;1089;3;0;0;0;0;290;260;539;
Happylife;Biene 0216;Verteidiger;373;1;0;0;0;0;373;
Happylife;Biene 031;Verteidiger;806;2;2;0;0;0;570;236;
Happylife;Biene 030;Verteidiger;928;2;0;0;0;0;415;513;
Happylife;Biene 033;Verteidiger;459;1;1;0;0;0;459;
Happylife;Biene 032;Verteidiger;1669;3;1;0;0;0;579;596;494;
Happylife;Biene 035;Verteidiger;1563;3;0;0;0;0;583;447;533;
