Player;Shipname;Side;dmg total;hits;misses;failedEscapes;crits;heavy;hits;
Quirun;GUN BOX 01;Verteidiger;9101;17;7;0;0;0;329;230;157;332;776;894;1018;205;262;828;731;759;265;278;891;498;648;
Quirun;BOX 51;Verteidiger;1584;6;6;0;0;0;640;153;135;396;109;151;
Quirun;BOX 50;Verteidiger;2531;9;3;0;0;0;592;261;391;175;71;102;131;724;84;
Quirun;BOX 53;Verteidiger;2626;9;3;0;0;0;427;628;243;108;352;420;192;98;158;
Quirun;BOX 52;Verteidiger;2884;8;4;0;0;0;352;536;290;176;469;455;251;355;
Quirun;MINI BOX 13;Verteidiger;938;5;1;0;0;0;84;260;221;130;243;
Quirun;BOX 55;Verteidiger;2016;7;5;0;0;0;507;219;65;241;158;646;180;
Quirun;BOX 11;Verteidiger;3965;11;1;0;0;0;371;274;1085;273;362;353;279;442;69;342;115;
Quirun;BOX 10;Verteidiger;6563;8;4;0;1;1;124;854;304;3175;59;733;595;719;
Quirun;BOX 54;Verteidiger;1926;8;4;0;0;0;198;193;79;299;298;144;235;480;
Quirun;BOX 13;Verteidiger;4333;9;3;0;0;0;268;765;83;227;1087;556;60;996;291;
Quirun;BOX 57;Verteidiger;2794;8;4;0;0;0;381;630;722;99;155;115;95;597;
Quirun;BOX 56;Verteidiger;3051;7;5;0;0;0;582;433;117;442;391;353;733;
Quirun;BOX 12;Verteidiger;3937;7;5;0;0;0;215;1109;284;151;859;1023;296;
Quirun;BOX 15;Verteidiger;2811;8;4;0;0;0;220;856;75;906;137;154;370;93;
Quirun;BOX 59;Verteidiger;2908;6;6;0;0;0;525;487;363;658;449;426;
Quirun;BOX 01 ECHO;Verteidiger;615;1;5;0;0;0;615;
Quirun;BOX 58;Verteidiger;2879;8;4;0;0;0;413;117;159;389;587;449;411;354;
Quirun;BOX 14;Verteidiger;2070;5;7;0;0;0;66;729;277;296;702;
Quirun;BOX 17;Verteidiger;3154;8;4;0;0;0;59;278;75;89;607;221;1023;802;
Quirun;BOX 16;Verteidiger;4088;9;3;0;0;1;635;456;469;191;769;668;375;205;320;
Quirun;BOX 19;Verteidiger;5174;10;2;0;0;1;507;117;843;72;834;215;2089;64;356;77;
Quirun;BOX 18;Verteidiger;2435;9;3;0;0;0;253;296;107;1029;90;118;234;195;113;
Quirun;MINI BOX 11;Verteidiger;732;4;2;0;0;0;284;94;108;246;
Quirun;MINI BOX 10;Verteidiger;875;4;2;0;0;0;115;117;322;321;
Quirun;BOX 40;Verteidiger;2481;9;3;0;0;0;347;623;79;267;252;290;285;212;126;
Quirun;MINI BOX 05;Verteidiger;784;3;3;0;0;0;106;286;392;
Quirun;MINI BOX 04;Verteidiger;836;5;1;0;0;0;265;100;269;87;115;
Quirun;BOX 42;Verteidiger;3790;10;2;0;0;1;165;304;942;130;134;265;625;322;552;351;
Quirun;BOX 36 T;Verteidiger;2135;9;3;0;0;0;191;96;387;138;522;457;110;153;81;
Quirun;MINI BOX 02;Verteidiger;1021;4;2;0;0;0;334;268;328;91;
Quirun;BOX 41;Verteidiger;1328;7;5;0;0;0;90;120;71;82;89;664;212;
Quirun;MINI BOX 09;Verteidiger;1287;5;1;0;0;0;80;364;352;152;339;
Quirun;BOX 44;Verteidiger;2817;10;2;0;0;0;609;302;140;400;208;133;246;296;149;334;
Quirun;MINI BOX 08;Verteidiger;779;4;2;0;0;0;131;70;300;278;
Quirun;BOX 21 ECHO;Verteidiger;896;2;4;0;0;0;635;261;
Quirun;BOX 43;Verteidiger;2480;7;5;0;0;0;440;92;272;468;95;764;349;
Quirun;MINI BOX 07;Verteidiger;1142;5;1;0;0;0;376;112;84;305;265;
Quirun;BOX 02;Verteidiger;3661;10;2;0;0;1;65;230;54;471;462;482;573;121;776;427;
Quirun;BOX 45;Verteidiger;1539;7;5;0;0;0;277;600;195;166;57;71;173;
Quirun;BOX 04;Verteidiger;2834;5;7;0;0;0;451;627;107;693;956;
Quirun;BOX 48;Verteidiger;3256;7;5;0;0;1;558;116;289;1332;454;104;403;
Quirun;BOX 06;Verteidiger;2016;9;3;0;0;0;57;365;69;212;97;74;592;267;283;
Quirun;BOX 05;Verteidiger;2666;7;5;0;0;0;223;304;260;788;79;774;238;
Quirun;BOX 49;Verteidiger;2639;6;6;0;0;1;1271;268;342;470;206;82;
Quirun;BOX 08;Verteidiger;4221;8;4;0;0;1;321;937;171;833;980;194;114;671;
Quirun;BOX 47 EK1T;Verteidiger;3630;9;3;0;0;1;152;451;601;144;1364;164;133;181;440;
Quirun;BOX 07;Verteidiger;1726;7;5;0;0;0;795;91;96;144;337;172;91;
Quirun;BOX 09;Verteidiger;3312;8;4;0;0;0;176;118;1076;269;282;212;877;302;
Quirun;BOX 46 EK1T;Verteidiger;2846;7;5;0;0;0;616;131;450;419;158;415;657;
Quirun;MINI BOX 01;Verteidiger;1161;5;1;0;0;0;189;256;94;354;268;
Quirun;BOX 03 ECHO;Verteidiger;2737;3;3;0;0;0;1374;287;1076;
Quirun;BOX 30;Verteidiger;2010;6;6;0;0;0;464;354;277;266;421;228;
Quirun;BOX 32;Verteidiger;1567;5;7;0;0;1;234;698;254;61;320;
Quirun;BOX 34;Verteidiger;3001;8;4;0;0;0;303;211;144;363;487;471;633;389;
Quirun;BOX 37;Verteidiger;2262;6;6;0;0;0;415;384;212;97;639;515;
Quirun;BOX 39;Verteidiger;1896;7;5;0;0;0;484;158;173;120;107;497;357;
Quirun;BOX 38;Verteidiger;3054;8;4;0;0;0;261;251;289;103;738;989;102;321;
Quirun;BOX 31 EK1T;Verteidiger;3565;6;6;0;1;0;617;293;186;481;156;1832;
Quirun;BOX 60;Verteidiger;3850;11;1;0;0;0;732;725;115;643;69;415;244;106;112;564;125;
Quirun;BOX 62;Verteidiger;1711;7;5;0;0;0;418;135;208;103;90;665;92;
Quirun;BOX 61;Verteidiger;2554;9;3;0;0;0;92;164;269;584;329;488;393;106;129;
Quirun;BOX 20;Verteidiger;1835;8;4;0;0;0;324;138;255;257;212;451;134;64;
Quirun;BOX 22;Verteidiger;2199;7;5;0;0;0;866;93;202;555;295;142;46;
Quirun;BOX 35 T;Verteidiger;1909;6;6;0;0;0;507;574;106;473;100;149;
Quirun;BOX 33 T;Verteidiger;3359;10;2;0;0;0;460;470;521;503;113;145;530;91;114;412;
Quirun;BOX 24;Verteidiger;3014;7;5;0;0;0;392;102;729;241;407;277;866;
Quirun;BOX 23;Verteidiger;4886;10;2;0;0;0;435;325;911;350;328;192;1101;67;833;344;
Quirun;BOX 26;Verteidiger;4104;8;4;0;0;0;310;125;586;92;883;306;786;1016;
Quirun;BOX 25;Verteidiger;2606;7;5;0;0;0;316;623;118;473;89;669;318;
Quirun;BOX 28;Verteidiger;2098;6;6;0;0;0;137;532;91;578;127;633;
Quirun;BOX 27;Verteidiger;2454;8;4;0;0;0;65;266;467;525;567;106;328;130;
Quirun;BOX 29;Verteidiger;3966;9;3;0;0;0;384;556;413;824;267;511;435;223;353;
Zarathustra;Fanboy 22;Verteidiger;3302;5;1;0;0;0;887;302;446;561;1106;
Zarathustra;Jasmin;Verteidiger;17377;16;2;0;0;0;2716;1320;291;2021;1472;151;2109;1407;639;301;736;1479;430;788;1394;123;
Zarathustra;Cassandra;Verteidiger;16768;20;4;0;0;1;435;619;134;473;1802;618;772;2002;429;658;2093;370;365;1655;227;151;506;1993;995;471;
Zarathustra;Fanboy 05;Verteidiger;1856;4;2;0;0;0;716;668;264;208;
Zarathustra;Fanboy 06;Verteidiger;2247;3;3;0;0;0;809;307;1131;
Zarathustra;Tiara;Verteidiger;17813;14;10;0;0;0;2330;1637;1125;3602;1887;415;655;1998;895;1061;425;735;666;382;
Zarathustra;Fanboy 23;Verteidiger;3636;5;1;0;0;0;1123;828;247;941;497;
Zarathustra;Fanboy 01;Verteidiger;2700;3;3;0;0;0;1279;371;1050;
Zarathustra;Fanboy 24;Verteidiger;1307;3;3;0;0;0;662;210;435;
Zarathustra;Fanboy 02;Verteidiger;1949;4;2;0;0;0;392;252;846;459;
Zarathustra;Fanboy 25;Verteidiger;4118;5;1;0;0;0;541;1084;299;1069;1125;
Zarathustra;Melina;Verteidiger;14295;17;7;0;1;0;1253;1152;202;604;1259;337;630;1036;1983;1407;523;553;1398;149;554;444;811;
Zarathustra;Zahra;Verteidiger;13813;16;8;0;0;0;447;1368;406;194;1331;1211;1437;1105;615;503;374;1073;1518;555;1218;458;
Zarathustra;Katharina;Verteidiger;11673;21;9;0;0;0;413;749;400;520;410;1406;1268;656;105;291;761;222;562;675;398;423;232;402;745;625;410;
Zarathustra;Amelie;Verteidiger;15698;14;7;0;0;0;729;688;1069;1922;603;1769;475;1088;2302;203;662;2109;458;1621;
Zarathustra;Esmeralda;Verteidiger;9668;8;4;0;0;0;730;1447;1005;244;1243;990;1572;2437;
Zarathustra;Josephine;Verteidiger;14480;12;12;0;0;0;1336;1415;1472;716;1047;1693;2135;152;1246;2934;204;130;
Zarathustra;ChristIna;Verteidiger;9307;10;26;0;0;1;383;356;510;1448;421;1162;388;1008;1386;2245;
Zarathustra;Fanboy 10;Verteidiger;4578;5;1;0;0;1;2480;850;382;602;264;
Zarathustra;EIodie;Verteidiger;23464;19;5;0;0;0;1710;2082;1240;1731;377;361;616;272;792;1909;409;511;2109;2097;1832;507;1876;1430;1603;
Zarathustra;Alisha Zafira;Verteidiger;9837;13;23;0;0;1;1099;363;399;2576;920;388;799;466;858;991;332;399;247;
Zarathustra;Fanboy 16;Verteidiger;3774;6;0;0;0;0;596;793;891;340;336;818;
Zarathustra;Xena;Verteidiger;11278;13;5;0;0;1;752;208;1206;151;1474;1411;1215;1445;595;152;354;1101;1214;
Zarathustra;Nova;Verteidiger;9786;14;10;0;0;0;468;284;547;303;1663;1545;431;445;335;1165;589;762;630;619;
Zarathustra;Annabelle;Verteidiger;11309;15;16;0;0;1;903;113;303;784;448;293;931;647;165;1105;600;140;1700;284;2893;
Zarathustra;Leyla;Verteidiger;12762;24;8;0;0;0;1119;1042;195;162;285;329;1261;430;186;1067;250;216;442;411;43;953;178;252;627;799;244;643;1022;606;
Zarathustra;Arielle;Verteidiger;13389;18;6;0;0;0;519;257;615;598;1128;1242;1622;801;359;864;388;903;400;898;1148;993;272;382;
Zarathustra;Paula;Verteidiger;25179;62;27;0;1;2;1265;3618;423;472;150;367;452;408;423;196;308;524;165;424;337;366;317;3785;2846;348;671;106;198;75;275;463;666;99;239;255;106;83;83;55;110;204;250;96;88;833;51;78;92;253;53;69;255;188;198;91;61;69;97;239;73;88;445;204;68;75;62;221;
Zarathustra;Fanboy 13;Verteidiger;1644;3;3;0;0;0;294;991;359;
Zarathustra;Penelope;Verteidiger;12045;11;7;0;0;0;1153;1320;212;1554;690;270;1940;2006;1056;1324;520;
Zarathustra;Justina;Verteidiger;6951;15;16;0;0;0;343;124;604;328;247;149;283;1431;1269;131;222;1393;126;123;178;
Zarathustra;Cecile;Verteidiger;9935;20;10;0;0;0;655;350;439;590;121;76;1045;1186;639;106;68;1356;545;240;239;678;194;763;190;455;
Zarathustra;Fanboy 20 004;Verteidiger;2427;4;2;0;0;0;746;758;430;493;
Zarathustra;Fanboy 20 003;Verteidiger;4265;4;2;0;0;0;1055;1074;986;1150;
Zarathustra;Dina;Verteidiger;10622;16;8;0;0;0;1253;126;555;1585;1427;674;1208;199;165;109;218;366;1499;683;342;213;
Zarathustra;Marguerite;Verteidiger;11129;15;9;0;0;1;1321;451;615;165;689;1769;224;977;669;228;398;699;492;1827;605;
Zarathustra;Fanboy 20 002;Verteidiger;2772;4;2;0;0;0;366;1195;529;682;
Zarathustra;Katja;Verteidiger;14612;25;6;0;0;0;1237;1466;254;425;462;1374;396;118;785;905;736;309;392;557;231;126;839;1339;240;174;437;871;589;191;159;
Zarathustra;Fanboy 20 001;Verteidiger;2580;5;1;0;0;0;611;251;570;222;926;
Zarathustra;Lola;Verteidiger;17425;17;7;0;1;2;1148;1243;551;685;766;559;638;3978;1589;428;443;1673;645;1510;527;701;341;
Zarathustra;Esmee;Verteidiger;15524;18;6;0;0;0;1235;447;650;120;530;2250;616;494;1362;986;380;305;2182;542;173;631;2472;149;
Zarathustra;Emma;Verteidiger;13086;11;7;0;0;0;2857;332;551;3081;1328;448;753;1378;422;1224;712;
Zarathustra;Atalya;Verteidiger;23715;13;5;0;0;0;1328;3211;664;1306;2492;581;3976;1190;1149;1133;2358;606;3721;
Zarathustra;Sophia;Verteidiger;13154;16;8;0;1;0;722;187;1867;1789;579;1268;1209;317;144;740;1130;163;1403;1148;261;227;
Negotiator;Baresvenge 12;Angreifer;7022;6;4;0;1;0;3883;165;1223;703;724;324;
Negotiator;Baresvenge 11;Angreifer;7839;10;2;0;0;2;1480;162;1042;622;431;476;572;158;2506;390;
Negotiator;Baresvenge 14;Angreifer;1521;6;2;0;0;0;383;111;388;117;392;130;
Negotiator;Baresvenge 13;Angreifer;6087;8;4;0;1;0;1103;299;471;100;141;307;3529;137;
Negotiator;Baresvenge 52;Angreifer;4364;7;1;0;0;1;1203;98;570;148;749;1394;202;
Negotiator;Baresvenge 51;Angreifer;2201;5;3;0;0;0;338;332;346;123;1062;
Negotiator;Baresvenge 10;Angreifer;7195;8;2;0;0;0;1544;958;1308;419;1092;110;1540;224;
Negotiator;Baresvenge 19;Angreifer;6308;8;4;0;0;0;1600;188;880;327;1595;592;1027;99;
Negotiator;Baresvenge 16;Angreifer;5533;10;0;0;0;0;1082;122;1556;160;630;329;344;338;590;382;
Negotiator;Baresvenge 15;Angreifer;5390;8;4;0;0;0;413;351;1345;371;785;102;1609;414;
Negotiator;Baresvenge 18;Angreifer;444;1;3;0;0;0;444;
Negotiator;Baresvenge 17;Angreifer;4643;8;0;0;0;0;1054;99;1221;183;1237;335;349;165;
Negotiator;Smartemis 020;Angreifer;0;0;1;0;0;0;
Negotiator;Nydrazs 04;Angreifer;13547;8;2;0;0;0;2316;1578;2179;665;1837;1422;1550;2000;
Negotiator;Nydrazs 01;Angreifer;26839;11;1;0;1;1;2612;1306;2918;4452;2415;1863;760;2079;1260;5076;2098;
Negotiator;Nydrazs 02;Angreifer;18300;10;2;0;0;0;1641;944;1603;1863;2376;1489;3089;966;2346;1983;
Negotiator;Baresvenge 23;Angreifer;3388;8;4;0;0;0;1374;177;425;429;260;127;504;92;
Negotiator;Baresvenge 22;Angreifer;2209;6;4;0;0;0;131;273;379;510;484;432;
Negotiator;Baresvenge 25;Angreifer;6520;7;1;0;0;1;1106;129;2363;392;1180;478;872;
Negotiator;Baresvenge 21;Angreifer;3666;7;1;0;0;0;1319;284;372;422;233;558;478;
Negotiator;Baresvenge 20;Angreifer;3943;6;4;0;0;0;1557;139;354;365;1250;278;
Negotiator;Rheral 04;Angreifer;488;1;0;0;0;0;488;
Negotiator;Rheral 05;Angreifer;479;1;0;0;0;0;479;
Negotiator;Baresvenge 27;Angreifer;5842;9;1;0;0;1;1329;366;1309;727;787;100;986;132;106;
Negotiator;Baresvenge 26;Angreifer;4286;7;3;0;0;0;1253;361;460;443;1564;91;114;
Negotiator;Baresvenge 29;Angreifer;1648;3;3;0;0;0;341;1105;202;
Negotiator;Rheral 01;Angreifer;383;1;1;0;0;0;383;
Negotiator;Baresvenge 28;Angreifer;6320;8;2;0;0;0;1353;402;602;1196;1589;357;704;117;
